method,seed,annual_return,sharpe,sortino,max_drawdown,avg_turnover,cum_return,worst_regime_sharpe,stress_sharpe,selected_blend,selected_instability,selected_persistence,validation_score,validation_sharpe,validation_cum_return,validation_worst_regime_sharpe,validation_avg_turnover,selected_strategy_hybrid,hybrid_validation_score,legacy_validation_score,refit_on_train_val,fold
correlation_rank,7,-0.0467631466302717,-0.7682627156119082,-2.809280060641391,-0.9265854534680421,0.001669449081803005,-0.9169054457864708,-3.7690912899572506,-3.7690912899572506,,,,,,,,,,,,,0
elastic_net,7,0.07404386093864823,1.9908363329768557,2.362021093265931,-0.045482877431642366,0.9973288814691154,33.240874848165014,1.6817292576383318,2.5130886837841215,,,,,,,,,,,,,0
contextual_bandit,7,0.06561091917520168,1.6348450175221245,1.989262095258383,-0.09072754214459156,1.1729549248747915,21.973268034883986,1.7078648133909236,1.7078648133909236,,,,,,,,,,,,,0
standard_rl,7,0.07789999969344974,1.9295937243421581,2.2931683529708535,-0.07687114152926111,0.8637729549248749,39.71919780460282,1.7317816655330018,2.4701969331237468,,,,,,,,,,,,,0
causal_rl_legacy,7,0.05481327523180535,2.0826809346005484,3.0019572257354534,-0.028888187093441986,0.7836393989983306,13.11732374941998,1.6977837400931857,2.4882253991578316,0.0,0.8,0.15,0.0,,,,,,,,,0
standard_rl,11,0.07562225381718068,1.8463096985830052,2.2054996439890866,-0.0908944591719818,0.847746243739566,35.594987307871904,1.7042169466701043,2.305745543280927,,,,,,,,,,,,,0
causal_rl_legacy,11,0.04830250646073231,2.1857634514150672,4.456605255644215,-0.021801185002292556,0.5372287145242072,9.413607841127854,1.8598144720248742,2.442317805268372,0.0,0.8,0.15,0.0,,,,,,,,,0
standard_rl,13,0.07812393899531123,1.9310990900006033,2.285291155419763,-0.08980829489717335,0.9118530884808014,40.13671032734213,1.752482845602663,2.5357735066361817,,,,,,,,,,,,,0
causal_rl_legacy,13,0.043567716171674764,2.057753345601979,4.440933291522153,-0.02174473402979149,0.37362270450751256,7.3149013770317435,1.5792791678159364,2.32105895285571,0.0,0.8,0.15,0.0,,,,,,,,,0
standard_rl,17,0.07135106109153244,1.8326402797745625,2.246553425509561,-0.04422021263031439,0.7856427378964943,29.112533779571354,1.696408411434933,2.2033974806982615,,,,,,,,,,,,,0
causal_rl_legacy,17,0.035308104289323294,1.7152724302669102,3.398146855446544,-0.025134207032139533,0.48247078464106846,4.5951012535087905,1.4767416827163624,1.8169072980004959,0.0,0.8,0.15,0.0,,,,,,,,,0
standard_rl,19,0.07768940544584257,1.9031757001704166,2.2105801730566053,-0.08161649794294767,0.8984974958263774,39.288760055403955,1.7488133559145955,2.4990544549308042,,,,,,,,,,,,,0
causal_rl_legacy,19,0.04920112680590516,2.254004066331325,4.836850761468573,-0.01964744115055128,0.550584307178631,9.871854253639682,1.8428758465838166,2.5154110641344865,0.0,0.8,0.15,0.0,,,,,,,,,0
causal_rl,7,0.05481327523180535,2.0826809346005484,3.0019572257354534,-0.028888187093441986,0.7836393989983306,13.11732374941998,1.6977837400931857,2.4882253991578316,0.0,0.0,0.15,0.05365274016940885,0.22406416556115702,0.1684101827643718,-0.6773752409315817,0.9406666666666669,0.0,13.140836839324455,0.05365274016940885,0.0,0
causal_rl_no_instability,7,0.05481327523180535,2.0826809346005484,3.0019572257354534,-0.028888187093441986,0.7836393989983306,13.11732374941998,1.6977837400931857,2.4882253991578316,0.0,0.0,0.15,0.05365274016940885,0.22406416556115702,0.1684101827643718,-0.6773752409315817,0.9406666666666669,0.0,13.140836839324455,0.05365274016940885,0.0,0
oracle_regime,7,0.08666334274600307,2.0662791411947885,2.42331420737354,-0.0912769954754088,0.907846410684474,59.83714501093223,1.6907875581844138,2.8357031973133755,,,,,,,,,,,,,0
